GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	crpP	ciprofloxacin resistance protein CrpP	ncbi	2021-Mar-27	NG_062203.1	abricate	abricate 1.0.1	94.44			13	210					+		100.0						FLUOROQUINOLONE
GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	crpP	ciprofloxacin resistance protein CrpP	ncbi	2021-Mar-27	NG_062203.1	abricate	abricate 1.0.1	98.99			49	246					+		100.0						FLUOROQUINOLONE
GMGC10.013_153_847.UNKNOWN	GMGC10.95nr_block_0002	vanU-G	glycopeptide resistance transcriptional regulator VanU	ncbi	2021-Mar-27	NG_048466.1	abricate	abricate 1.0.1	100.0			1	228					+		100.0						VANCOMYCIN
GMGC10.004_451_260.BLAI	GMGC10.95nr_block_0007	blaI_of_Z	penicillinase repressor BlaI	ncbi	2021-Mar-27	NG_047499.1	abricate	abricate 1.0.1	87.41			1	405					+		100.0						BETA-LACTAM
GMGC10.008_803_393.FOSB	GMGC10.95nr_block_0007	fosA7.2	fosfomycin resistance glutathione transferase FosA7.2	ncbi	2021-Mar-27	NG_067228.1	abricate	abricate 1.0.1	94.33			1	423					+		100.0						FOSFOMYCIN
GMGC10.015_937_485.FOSB	GMGC10.95nr_block_0007	fosA7.4	fosfomycin resistance glutathione transferase FosA7.4	ncbi	2021-Mar-27	NG_067230.1	abricate	abricate 1.0.1	91.02			1	423					+		100.0						FOSFOMYCIN
GMGC10.017_978_399.FOSB	GMGC10.95nr_block_0007	fosA	fosfomycin resistance glutathione transferase FosA	ncbi	2021-Mar-27	NG_050405.1	abricate	abricate 1.0.1	88.31			1	402					+		94.37						FOSFOMYCIN
GMGC10.027_458_315.FOSB	GMGC10.95nr_block_0007	fosA7.3	fosfomycin resistance glutathione transferase FosA7.3	ncbi	2021-Mar-27	NG_067229.1	abricate	abricate 1.0.1	95.51			1	423					+		100.0						FOSFOMYCIN
GMGC10.027_520_977.COPY	GMGC10.95nr_block_0007	mecI_of_mecA	mecA-type methicillin resistance repressor MecI	ncbi	2021-Mar-27	NG_055650.1	abricate	abricate 1.0.1	99.73			1	372					+		100.0						METHICILLIN
GMGC10.031_619_256.FOSB	GMGC10.95nr_block_0007	fosA7.4	fosfomycin resistance glutathione transferase FosA7.4	ncbi	2021-Mar-27	NG_067230.1	abricate	abricate 1.0.1	95.27			1	423					+		100.0						FOSFOMYCIN
GMGC10.011_109_108.FOSB	GMGC10.95nr_block_0008	fosB-251804940	FosB family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_047889.1	abricate	abricate 1.0.1	99.53			1	429					+		100.0						FOSFOMYCIN
